,Nombre empresa,Puesto ofertado,Ubicación,Días activos,Nº Solicitudes,Nivel experiencia,Sector,Tipo jornada,Funciones laborales,Descripción,Tipo puesto
589,Data Scientist en METIORA,no_data,no_data,no_data,0,no_data,Oportunidad de prosperar en un entorno de emprendimiento de alto crecimiento,Contrato indefinido,Cientos de problemas para resolver,"Descripción del empleo

Estamos actualmente buscando a un Data Scientist para incorporarse en el equipo de Metiora.

Perfil Del Candidato
Grado en Computer Science, Telecomunicaciones o Informática
Al menos 2 años de experiencia en proyectos reales
Proactividad y pasión por la tecnología
Ganas de trabajar en equipo
Curiosidad intelectual y persistencia para resolver problemas

Requisitos

Requisitos
Alto conocimiento de Python
Enfocado en la calidad, escalabilidad y código limpio
Bases de datos (SQL)
Bases de datos no relacionales (MongoDB / Redis / Clickhouse)
Buen nivel de inglés
Conocimientos de análisis de datos
Conocimientos de técnicas de Machine Learning
Manejo de la visualización de datos para la generación de reportes
Conocimientos del ecosistema IoT
Buen trato con clientes y proveedores externos

Información adicional

Qué Ofrecemos
Oportunidad de prosperar en un entorno de emprendimiento de alto crecimiento
Salario competitivo
Contrato indefinido
Grandes compañeros con los aprender y trabajar
Cientos de problemas para resolver",Data Scientist
590,Skillsearch Limited,Data Scientist,Barcelona, 5 meses,698,Sin experiencia,Marketing y publicidad Software Dotación y selección de personal,Jornada completa,Ingeniería Tecnología de la información,"Data Scientist in Barcelona
Are you an experienced Data Scientist that wants to join the newest studio of a worldwide games industry giant? Its a unique opportunity to work with well loved classics while also creating the next generation of mobile games all while located on the beach in Spain!
Youll head up the planning, execution and ongoing optimisation of ad campaigns, working closely with the wider team to ensure growth across all of the games. Part of your time will also be focused on the key KPIs which will be achieved alongside MMPs, internal account managers and external agencies.
This studio already has a core team of experienced, diverse and dedicated people but youll be joining only months after the studio opening so will have a real impact on games and studio.

Data Scientist Responsibilities

Work with large, complex data sets to manipulate and analyse behaviour of players
Use your behavioural analyses to provide recommendations for strategic and operational business questions
Work with in-game data to help build game features and product roadmaps
Strive to produce the best games possible using data insights on retention and monetization
Create automated dashboards and reports that will be used by the whole studio to understand the game data and how this relates to the in-game experiences

Requirements For This Role In Barcelona

Background working with data in the games industry, preferably within mobile games
Experience working with SQL especially large, complex data sets
Examples of work with Tableau or similar for analysis and visualisation
An extensive body of work showing off your detail orientated approach and problem solving skills
Experience turning complex concepts into actionable recommendations
Degree level education in a mathematical/quantitative subject
A little bit about the city: Barcelona
Barcelonas stunning beaches, balmy weather and striking architecture are all great reasons to settle in this beautiful city. Home to many restaurants, museums and traditions, theres certainly a lot to explore. One feature the city is certainly proud of is that it is home to 8 UNESCO World Heritage Sites, largely thanks to Gaudis architecture which can be found at various sites citywide.
Barcelonas compact city centre and excellent transport system make getting around trouble-free and commuting time minimal. Home to a flourishing international community, Barcelona is a great city to relocate to if youre hoping to feel at home.
Nivel de experiencia
Sin experiencia
Sector
Marketing y publicidad Software Dotación y selección de personal
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información",Data Scientist
591,Shift Technology,Data Scientists en prácticas – Hispanohablante (fin de estudios),Madrid, 1 mes,1087,Sin experiencia,Investigación Recursos humanos Seguros,Jornada completa,Ingeniería Tecnología de la información,"¿Estás buscando unas prácticas y te apasiona la programación? ¡Ven y únete al líder francés de Insurtech para cambiar el mundo de los seguros con AI!

Rol

Como miembro del equipo Data Scientist de la oficina de Madrid y trabajando junto con nuestros expertos técnicos, podrás:

Comprender los datos de seguros y los mecanismos de fraude;
Crear los modelos matemáticos asociados;
Implementar, probar y optimizar los algoritmos asociados;
Participar en talleres con los clientes para recopilar comentarios e integrarlos en los modelos;
Aportar continuamente ideas para mejorar la solución.

Tu perfil

Eres nativo en español y hablas con fluidez en inglés (obligatorio)
Tienes habilidades técnicas avanzadas en Matemáticas Aplicadas, preferiblemente en machine learning y/o investigación operativa;
Combinas habilidades de análisis y síntesis; y no tienes miedo de afrontar los problemas complejos y poder explicar todos sus detalles.
Puedes escribir código de producción de calidad;
Capacidad de relacionarse cara a cara a nuestros clientes para hablar de sus necesidades e integrar sus comentarios en su proyecto;
Puedes comunicarte con fluidez en inglés y tu idioma nativo es el español.

¿Quieres saber más?

Para postular, envíanos tu currículum y haznos saber por qué podríamos ser una gran opción para ti.

Esta posición es para ti si ...

Estás buscando unas prácticas de fin de estudios para completar tus estudios superiores (Máster).

¡Estás interesado en un puesto fijo y crees que Shift es el lugar adecuado para comenzar!
Nivel de experiencia
Sin experiencia
Sector
Investigación Recursos humanos Seguros
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información",Data Scientist
592,Vodafone,Data Governance,Madrid, 2 meses,1299,no_data,Servicio de información Servicios y tecnologías de la información Telecomunicaciones,Jornada completa,Tecnología de la información,"We invite you to join Vodafone to build a future together, in a position where you can learn new things every day and have contact with the different business units of the Company, as well as related institutions and public bodies.

VOIS is embarking on a global transformation of data; analytics to enable the VOIS Data Ocean which will enable us to unlock value through machine learning and AI.
The Group Google Cloud implementation provides VOIS with the capability to derive value from its data using complex analytics. As the platform expands and data increases, it will become increasingly more important to ensure that VOIS data is managed correctly adhering to Vodafone and external data and security practices.

The role of the Data Governance/Data Steward is to work with the Architecture, Data Science and Delivery teams to establish technical and processes to manage the data on our platforms. The role of the librarian is to manage data and the policies that apply to it on the platform. The librarian is a hybrid role combining the accountabilities of a data custodian and steward.

Role Interaction
Will work closely with data architect team implement data quality and meta data blue print, with data owners to improve data quality and meta data;
Will work with Data Engineering and Delivery teams to implement solutions
Will work with operations staff to ensure processes and procedures in place to manage data
Will work with data scientist to understand data demands and issues
Will work closely with the Corporate IT System team leading the GCP implementation to ensure full adherence to their principles, rules and guidelines.
Will work with data scientist to understand data demands and issues.
This role will play a key role to enable scaled development teams to meet the delivery needs across multiple service lines.

What you bring?
Understand and used GCP technologies.
Exposure to data lake or data warehouse implementation.
Worked in agile environment.
Experience of preferably with development, database skills as a foundation.
Experience of working in a matrix organization.
Influence and execute using other teams.
Good communication skills.
Why Vodafone?
At Vodafone we are concerned about being a company committed to diversity as an engine of change. We are proud to offer equal opportunities regardless of race, nationality, cultural origin, sex, age, marital status, sexual orientation, gender identity, disability and religious or political beliefs.
Sector
Servicio de información Servicios y tecnologías de la información Telecomunicaciones
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Scientist
593,Ryanair - Europe's Favourite Airline,Data Engineer,Madrid, 1 mes,1092,Intermedio,Dotación y selección de personal Recursos humanos Aeronáutica/Aviación,Jornada completa,Tecnología de la información,"Ryanair Holdings plc, Europe’s largest airline group, is the parent company of Buzz, Lauda, Malta Air & Ryanair DAC. Carrying over 154 m guests p.a. on more than 2,400 daily flights from 82 bases, the group connects over 200 destinations in 40 countries on a fleet of over 475 aircraft, with a further 210 Boeing 737’s on order, which will enable the Ryanair Group to lower fares and grow traffic to 200m p.a. by FY24. Ryanair has a team of over 19,000 highly skilled aviation professionals delivering Europe’s No.1 on-time performance, and an industry leading 34-year safety record. Ryanair is Europe’s greenest cleanest airline group and customers switching to fly Ryanair can reduce their CO₂ emissions by up to 50% compared to the other Big 4 EU major airlines.

The Role

We are looking for a Senior Data Engineer to work in a multi-disciplined team, working alongside Developers, Designers and Product Owners, who will own their work from the initial idea to the final implementation. We are continually gathering information on travel related events and are looking for someone to help us make the most of a large-scale distributed data system. The role will allow for opportunities to work in a variety of areas such as digital, logistics, predictive maintenance, and anything else that you may think of, or that will come your way.

Requirements

The Person
Big Data Experience with technologies like Hadoop, Spark, Kafka, Cassandra, Mesos/YARN
Evidence of Data Processing at Scale – designing, developing and continually improving tools
Experience in any of the following areas is a bonus – APIs, Personalisation (classifiers, recommendation & prediction services), automation
Experience designing, developing, testing and continually improving tools which deliver scalable and effective data infrastructure systems
Evidence of delivering continual improvements in availability, scalability, monitoring, concurrency, fault tolerance, latency, automation and related areas
Cloud native system design
Familiar with Hadoop administration, monitoring, performance tuning, troubleshooting
Designing ETL/ Data Load architectures within the Hadoop Ecosystem
Streaming applications design with Storm and Spark Streaming


Required Skills
Develop Spark applications in Java, Scala or Python
Solid experience in SQL and Java / Scala programming
Clear understanding of Hadoop stack, its architecture and configuration
Familiar with Hadoop administration, monitoring, performance tuning, troubleshooting
Experience with cloud architecture (AWS) would be a plus
Streaming applications design with Storm and Spark Streaming would be a plus
Fluent in English


Our tech stack includes (but isn’t limited to)
Hadoop (HDFS, Spark, Impala, Hive, Oozie) - Cloudera
Java, Python, Scala, R
AWS (S3, EC2, EMR)
Flume, ElasticSearch, Kibana
MS SQL Server 2016


Benefits

Flight Benefits
Nivel de experiencia
Intermedio
Sector
Dotación y selección de personal Recursos humanos Aeronáutica/Aviación
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Scientist
594,Adecco,Analista de Datos,Madrid, 3 días,1009,Sin experiencia,Dotación y selección de personal Venta al por menor Servicios financieros,Jornada completa,Tecnología de la información,"¿Te sientes identificado con la metodología Agile y tienes ilusión por afrontar nuevos retos? ¿Te apasiona la ingeniería de datos y quieres seguir cogiendo experiencia en una de las empresas lideres en el sector del almacenamiento y transporte de hidrocarburos? Si es así, ¡No dejes pasar esta oportunidad y apúntate a esta oferta!

El Grupo CLH es la principal empresa de almacenamiento y transporte de productos petrolíferos de España, y que además, tras el acuerdo con Inter Pipeline (IPL) para adquirir 15 instalaciones de almacenamiento en Reino Unido, Irlanda, Alemania y Países Bajos, se ha convertido en la principal empresa logística de productos líquidos en Europa. El Grupo CLH está integrado en España por CLH, CLH Aviación y TERQUIMSA (Terminales Químicos, S.A.). Además cuenta con presencia internacional a través de CLH Pipeline System (CLH-PS) Ltd. en Reino Unido, CLH Aviation Ireland en Irlanda y Orpic Logistics Company L.L.C. (OLC) que desarrolla su actividad en Omán.
El Grupo CLH desempeña un papel clave para garantizar a la sociedad un acceso fácil y seguro a los productos petrolíferos y basa su gestión en criterios de compromiso con la sostenibilidad, la seguridad, la eficiencia y la colaboración con la sociedad, como recoge su Misión, Visión y Valores.

Ofrecemos
Salario: según valía y experiencia.
Incorporación a un sólido Grupo multinacional que valora a sus colaboradores
Flexibilidad en horario de entrada y salida
Formación, apoyo y aprendizaje constante dentro de un equipo muy experimentado, con excelente ambiente de trabajo y profesionalidad.
Participar en el desarrollo de las iniciativas ágiles de nuestro HUB Digital, donde utilizamos las tecnologías más punteras en materia de Machine Learning, Deep Learning, Edge Computing, Cloud Computing, IoT, RPA, NLP y otras muchas.
Requisitos
Grado en Ingeniería, Matemáticas, Estadística, Física, Económicas o similar
Bases de datos, SQL, procesos ETL, Power BI.
Persona Agile Mindset y con experiencia utilizando metodologías ágiles en entornos de trabajo colaborativo.
Habilidades de comunicación efectiva (Data Storytelling).
Valorable experiencia con ecosistema de Azure y conocimientos de programación con Python, así como formación de Data Scientist.
Idioma Inglés nivel alto (mínimo B2 - 800 puntos en TOEIC).
Experiencia deseable de al menos 1-2 años en tareas similares
Responsabilidades
La persona que buscamos se integraría en nuestro equipo del HUB Digital y trabajaría muy alineada con los Product Owners de negocio, con el ingeniero/a de datos y con el científico de datos, y se encargaría de utilizar en la práctica el planteamiento de infraestructura propuesto por el ingeniero/a de datos, y de realizar todas aquellas operaciones ETL necesarias (Extracción, Transformación y Carga de datos) para que el Científico de Datos pueda desarrollar sus modelos. También sería la persona responsable de estructurar la visualización de los datos, generar informes, así como de la retroalimentación e integración de los modelos generados por el científico de datos para su consumo por parte de negocio (Business Intelligence). Pero en CLH sabemos que la experiencia no lo es todo y por eso valoramos también que tengas entusiasmo por unirte a nuestro proyecto y que seas una persona comprometida, proactiva y con ilusión por afrontar nuevos retos.

¡Por lo demás, nosotros te ayudaremos e impulsaremos en todo momento!
Nivel de experiencia
Sin experiencia
Sector
Dotación y selección de personal Venta al por menor Servicios financieros
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Scientist
595,Madbox,Data Engineer,Barcelona, 2 meses,423,Sin experiencia,Software Internet Videojuegos,Jornada completa,Tecnología de la información,"Madbox is a mobile gaming company, creating and publishing its own games worldwide. After two years of existence, Madbox has gathered more than 100 million players, still growing. We are looking for top talents with mad skills, a mad passion and a mad ambition to join us.

We are looking for a passionate and experienced data engineer to join us!

As the first Data Engineer in the team you will be responsible for end to end data pipelines and data architecture for all the Studio’s games.

Based in Barcelona, you will have the opportunity to work with the Data team and the game teams to keep delivering and improving the company's Data solutions. We evolved in a flat-structured creative environment where ownership and accountability are our two mantras. We look for high-energy individuals ready to bring Madbox to a global stage.

What will you do ?
Working closely with the head of data, data scientist, automation team and data analysts to develop and own our data pipelines, infrastructure & roadmap.
Implement high end scalable solutions, cost optimised and with high performance.
Monitor all the pipelines to ensure high availability.
Proactively responsible for data accuracy and reliability for all models and entities.
Mad Skills & Experience Required
Required :
Experience with Big Data systems architecture
Experience in Data Pipeline scripting in python
SQL skills
Experience in cloud platforms GCP/AWS and their data services (Preferable knowledge in GCP Dataflow)
Experience with GIT and Airflow
Bonus : Experience in Typescript and Unity programming (C#)
Note: You will be required to pass a technical test.
You also have
Autonomy and ability to take decisions and make projects move forward while keeping transparency and continuous updates to relevant stakeholders
An analytical mindset.
A good and fluent communication skills: straight to the point, focused on constructive feedback, positive mindset
High interest in tech and Games in general.
Shown leadership in proposing innovative actions to perform to improve globally speaking.
What's the Madbox mindset?
You are a humble yet ultra ambitious individual
You are a team player and a game maker at heart
You are T-shaped and enjoy small structures where everyone has a strong impact
You want to learn and grow in a passionate environment
What we offer?
Competitive salary
Private medical cover
Lunch vouchers
Team events (once we're all back in the office)
Madbox is a fast-growing mobile game company based in Paris and Barcelona, creating and publishing its own games. The story of Madbox started when two video game studios fell in love with each other during the summer 2018.

A few months after the beginning of this promance, Madbox first in-house titles hit the top charts of the App Store and Google Play Store worldwide, ranking in #1 positions in more than 100 countries. After just two years of existence, Madbox has gathered more than 100 million players, still growing fast. To fuel this creative and operations growth, Madbox develops cutting-edge automation systems internally to shorten production times and drive accurately its performance at large scale.

www.madbox.io

Madbox will collect your personal data for the purposes of managing our recruitment related activities. That is why, Madbox may use your personal data in relation to the evaluation and selection of applicants. Your information will be accessible to recruiting & people teams in Paris & Barcelona. By applying, you expressly give your consent.
Nivel de experiencia
Sin experiencia
Sector
Software Internet Videojuegos
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Scientist
596,CARTO,Data Engineer - Remote,Sevilla, 3 semanas,713,Sin experiencia,Servicios y tecnologías de la información Software Internet,Jornada completa,Tecnología de la información,"CARTO is making a huge impact on some of the most important global corporations (Google, Mastercard, T-Mobile, Vodafone) developing custom solutions on top of its powerful geospatial platform.

We are looking to incorporate to our Solutions Team a creative professional eager to work with data engineering, helping us to define automated solutions to ingest, analyze and process terabytes of spatial data with the ultimate Cloud Native platform.

Do you have a passion for solving the most cutting-edge customer problems with data and analytics? Do you want to be part of a high performing team at a rapidly growing tech company with an awesome culture? Do you have expertise and demonstrated success dimensioning and defining geospatial solutions? If so we want to talk to you!

Some our current challenges are solving problems like: design high scalable platform to calculate optimized routes of gas&oil pipelines over terabytes of spatial data and hundreds of constraints in seconds, predict revenue for simulated stores in a whole country applying ML techniques, or process, aggregate and enrich billions of transactions across the globe to serve them in a real-time application.

From smartphones to connected cars, location data is changing the way we live and the way business happens. Everyone, from business analysts to data scientists, use our software and location data to understand where and why things happen, optimize business processes, and predict future outcomes.

Backed by leading VC firms Accel Partners, Salesforce Ventures, Earlybird Ventures, and Kibo Ventures, CARTO is poised to lead the location intelligence (LI) space.

This position is based in our Sevilla office, although we accept candidates working remotely.

You Will
Work with an experienced team to build cutting-edge data processing systems that feed beautiful maps and meaningful geospatial apps for international customers.
Research, arrange and aggregate terabytes of data to get the most accurate insights for CARTO customers. Don't count data, make data count.
You will learn everything there is to know about mapping technology and how companies around the world are using CARTO to gain insights through location and predictive analysis.
Build scalable ETL pipelines based on platforms like Prefect or Airflow in an elastic cloud infrastructure.
You will be able to self-promote and become a tech leader, who will be a referent for the rest of the team.
You are
A human being with an insatiable thirst for learning.
Quick to grasp new concepts and quick to take on new challenges.
Experienced building ETL processes with Python and familiar with the Python Data Analysis stack: Pandas, Numpy, GeoPandas, Scikit-learn, etc.
Ideally, experienced with large databases and data warehouses like BigQuery, Redshift or Snowflake.
Someone who has enjoyed working with various databases and has solid SQL foundations.
Mature in your approach to software development, in how you test, fine tune, and document when required.
A skilled communicator, and fluent in English.
Willing to contribute to our culture of openness, constant feedback, and iterative improvement.
We offer
Competitive, results-based compensation.
Flexible work hours in a focused but casual environment.
Private medical insurance and stock options.
Growth prospects at a truly welcoming multicultural and multilingual company with a supportive, team-work oriented work environment.
An opportunity to get in early to a company that will be category defining, backed by the same VCs that have backed companies like Facebook, Slack, Dropbox and Cloudera.
A big vision: to help the world use location-based data to make better decisions. We believe that openness and sustainability are baked into this vision, and we’re sharing it with the world.
To Apply

Provide us your resume and explain your interest. Be sure to let us know why you’re a great match for this role and for CARTO!

Do you feel that you don't check all of the requirements? At CARTO we believe that professional development happens through teaching and learning from your peers and managers. Even if you’re uncertain about whether you have the experience we’re looking for, please apply if this position sparks your curiosity.

A diversity of identity, perspective, and experience makes us stronger. We welcome you to apply to CARTO regardless of your background, gender, ethnicity, orientation, or ability.

To learn more about us, please visit our blog or follow us on Twitter (@carto) or Instagram (@cartohq).
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Software Internet
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Scientist
597,TMC,CLOUD BIG DATA ENGINEER,Madrid, 1 semana,263,Intermedio,Software Servicios y tecnologías de la información Arquitectura y planificación,Jornada completa,Tecnología de la información Consultoría Ingeniería,"Anunciado por
María Cubillo Esteban
Business Manager / Desarrollo de Negocio IT en TMC
Enviar mensaje InMail
| YOUR CHALLENGES?
We are currently seeking flexible and fast-thinking Cloud Big Data Engineers.
Depending on your expertise and affinity, areas of application may include Retail, TELCO, Energy, IOT Distributed Systems, Mobility and Healthcare. The work will mainly be conducted in project teams of various (technical) disciplines. It is crucial that you have a good overview of the possible applications of your expertise and that you’re able to motivate this to others.

As a Cloud Big Data Engineer in our team you will be challenged with:
Designing and/or building the data model and its complex processing infrastructure that meets the business’s requirements;
Transforming large, complex data-sets into pragmatic, actionable insights;
Leveraging data to identify, quantify and realize tangible business gain;
Having the capacity to thrive in our fast-paced environment, adapting quickly and taking ownership of your work;
Managing innovative ideas and methods while working together with talented, highly skilled team members.
We focus on delivering quality work, supporting our customers and above all, attitude! That’s why we expect our people to feel at home in all areas of today’s development.


| WHAT DO WE EXPECT FROM YOU?
Perfectly fluent in Spanish, you have a BSc. or MSc. in software engineering, computer science, (theoretical) physics, econometrics, statistics, scientific computing, bioinformatics or comparable background. Degree in Computer Sciences, Informatics or related field required.

During your studies or through professional experience (minimum 3 years of relevant experience is required) you have gained expertise in one or more of the following topics:
Strong technical skills regarding, data(base) modeling, data warehousing and programming;
Strong working knowledge of Python, R, Java, Hadoop, Cloudera, Kafka Ecosystem, Snowflake, Spark, Scala-Spark, Flink, Hive, HDFS, Impala, Kudu, API's, SQL, and / or noSQL;
• Strong working knowledge of Cloud: Azure, Amazon Web Services or Google Cloud Platform.
Strong working knowledge of designing and implementing common BI applications, such as Tableau, Qlikview, Spotfire, Splunk, SAP, SAS, or others;
Proven experience and affinity with designing and building of data processing solutions, data storage solutions, cloud solutions, and / or database management;
Experience with processing large data sets (> 1 TB) is considered a plus;
Knowledge of Agile methods is considered a plus;

In addition to these technical skills developed through your industry experience, you have developed strong soft skills such as good oral and written communicative skills, stress resistance and a team player attitude. Serious motivation for the Employeneurship model of TMC is also required.
Your profile matches these expectations? Let’s talk about your plan!


| WHAT DOES OUR BUSINESS CELL HAVE TO OFFER?
Be part of the TMC Software Factory, our Development Center that provides IT expertise and development based on best practices and accumulated experience to all our clients. We excel in agile development and IT engineering.
Who we are?
High Performance Development Center
Technological solutions tailored-fit for each customer
Capability to work with a variety of technologies
Software quality & security compliance best practices
Continuous delivery to customers
Cybersecurity compliance
We invest in technological surveillance


| WHAT CAN YOU EXPECT FROM TMC?
TMC is an international high-tech consultancy company that brings expertise to their clients in order to support them with the realization of their technological challenges. As such, TMC is operating as an expert center at the disposition of its clients and we help them to be more competitive in an ever more global and faster changing technological world.
At TMC we believe that people are the driving force behind technological innovation. That is why we want to create the best possible conditions for tech talents to thrive in. We offer you a challenging and stimulating work environment in which you can be the director of your own career.
As an Employeneur you are part of our TMC family. Next to our outstanding technical expertise, fun and engagement are meaningful parts of our culture.


| WHY CHOOSE FOR EMPLOYENEURSHIP?
We are truly unique thanks to our Employeneurship model which is a true innovation for the High Technology consulting business. It is the business relationship of the 21th century for high skilled technical professionals. It is built around 5 main pillars:
You will have a permanent employment contract, offering you stability and security
You will get to know your market value and have a share in the profit your work generates thanks to the individual profit sharing
We will support you with a one-on-one coaching and trainings designed to help you develop your entrepreneurial skills
The competence cells structure, provides you with a strong meaningful and relevant network
The entrepreneurial lab: a playground for new ideas and a potential launching for start-ups
Nivel de experiencia
Intermedio
Sector
Software Servicios y tecnologías de la información Arquitectura y planificación
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información Consultoría Ingeniería",Data Scientist
598,Smartme Analytics,Data Scientist/Científico de Datos,Madrid, 4 meses,1008,Sin experiencia,Servicios y tecnologías de la información,Jornada completa,Ingeniería Tecnología de la información,"Data Scientist/Científico de Datos en Madrid.
Necesitamos a una persona de mentalidad curiosa a la que le gusten las aplicaciones móviles el video online las redes sociales la publicidad y las marcas. Que se sienta cómoda con los números para poder identificar oportunidades que surjan de los datos.
Fundamental que se defienda bien con Power point y que sepa redactar bien.
Requisitos técnicos imprescindibles
Programación en R.
Experiencia en analítica.
Somos Smartme una compañía con un fuerte componente tecnológico dedicada a obtener procesar y analizar Big Data de los usuarios de Smartphone.
La recopilación de datos primarios a través de dispositivos móviles es una forma precisa de capturar información de los consumidores. La información recabada a través de la tecnología Smartme permite mejorar de forma constante la captación y la retención de los clientes así como tener un conocimiento competitivo continuo sin precedentes lo que permite a los clientes de Smartme mejorar sus resultados empresariales.
El equipo de Smartme joven y dinámico se compone de científicos y analistas de datos con clara vocación y visión de generar propuestas de valor tecnológicas y de negocio.

Estamos buscando un CIENTÍFICO DE DATOS para incorporar en nuestras oficinas de Madrid.
Actividades a desarrollar
Manejo y gestión de redes sociales apoyando al product manager.
Formación en tecnologías y metodologías de tracking para medir y analizar comportamientos de mercado.
Asistencia en la medición de audiencias y gestión de audiencias compartidas.
Medición de eficacia publicitaria.
Apoyo en la elaboración de informes sobre estudios de mercado.
El objetivo es formar a una persona en tecnologías y metodologías de tracking observacional para inferir perfiles comportamentales algoritmos de madurez de posicionamiento mobile de las marcas de cara a establecer diagnósticos de inteligencia competitiva. También conocer nuevas técnicas de análisis de audiencia de eficacia publicitaria predicciones de targets más afines según productos y marcas etc.
El foco de la formación estará centrado en ser capaz de extraer conclusiones de interés para el negocio.
R, Microsoft Powerpoint, python, tableau
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información",Data Scientist
599,homyspace,Data Engineer - 100% Remote,Valencia/València, 1 semana,1319,Sin experiencia,Internet,Jornada completa,Tecnología de la información,"Anunciado por
Boris González Salinero
People, Talent & Culture Manager / HR Manager en homyspace
Enviar mensaje InMail
DATA ENGINEER - 100% REMOTE

What is Homyspace?

Homyspace is a startup founded in Valencia. We provide temporary accommodation for companies and workers posted in the main Spanish and European cities. Property owners and managers now have a legal and secure solution to rent their flats on a seasonal basis by accommodating companies with mobile employees.
We are living an exciting journey: in addition to solving a problem for many companies, Homyspace is scaling and we are facing exceptional challenges at this stage. Do you want to be a part of the journey?

Who are we looking for?

We are looking for a Data Engineer to help us build a self-service analytics platform and progressively evolve its work area to be key in the growth of the company.
Your initial objective will be to make analytics an accessible, replicable and reliable product for the end consumer (business stakeholders) and from there on offer new solutions and functionalities.

What will you do?

As a member of the Lab Department and in close contact with the development team, you will help Homyspace make data-driven decisions.
As a Data Engineer, you will be responsible for building the Homyspace data platform (data warehouse) from where the business logic is modeled:

- Modeling of business logic with dbt.
- Management of the data warehouse in BigQuery.
- Connecting different data sources with Stitch.
- Creation of the self-service analytics platform with Metabase.
- Designing, building and maintaining other real-time/batch data pipelines and ETLs that can consolidate and clean up for analytics purposes.
- Promotion and training of the tools you create to encourage their use among business stakeholders.
- Communication with the business stakeholders to establish the requirements, the design and the subsequent implementation of models.
- Documentation and testing of models.
- Continuously identify, evaluate and implement new tools and approaches to maximize development efficiency.
- Collaborating with cross-functional teams to define, execute and release new services and features.
- Assistance to other departments for ad-hoc decision making.
- Key contribution to the creation of the Data team.

Requirements:

- At least 2 years of experience in coding and delivering complex data projects.
- Experience in Data Engineering in collaboration with data scientists/analysts.
- Proficiency in relational and non relational databases: SQL.
- Proficiency in building ETLs and data pipelines.
- Knowledge and use of modern data processing technology stacks in cloud environments (AWS).
- Advanced knowledge of Python.
- Knowledge of dimensional data modeling for analytics and BI purposes.
- Experience working with agile methodologies.
- Experience with testing processes and best practices when programming.
- Desired experience with Git.

What we offer?

Join a young and dynamic environment with an excellent work atmosphere. Teamwork is our hallmark.
Flexibility to work from home 100% of the time.
Work in a real agile environment, guided by objectives rather than by a work schedule.
Participate in projects with cutting-edge technology where you can learn every day.
Real possibilities to grow with the company and promote based on the merits and opportunities that arise.
Continuous training and positive and honest feedback from your managers (mistakes are accepted as something natural, we can learn together).
A fixed and competeitive salary, according to contributed values, plus group incentives, so that the entire team will row in the same direction.
Special events and celebrations.

If you are looking for a different and exciting project, we are looking forward to meeting you!
Nivel de experiencia
Sin experiencia
Sector
Internet
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Scientist
