,Nombre empresa,Puesto ofertado,Ubicación,Días activos,Nº Solicitudes,Nivel experiencia,Sector,Tipo jornada,Funciones laborales,Descripción,Tipo puesto,lat,lon
331,Allianz,Data Engineer - Business Analyitcs,Barcelona, 1 mes,162,no_data,Servicios financieros Seguros,Jornada completa,Desarrollo empresarial,"Job Purpose/ Role

Dentro de nuestra unidad de Business Analytics precisamos incorporar un/a especialista en el uso de grandes conjuntos de datos para encontrar oportunidades de optimización de productos y procesos que se responsabilizará de las funciones de Data Engineer.

Key Responsibilities

Responsable de diseñar, construir y operar arquitecturas de datos, desde la recolección de datos hasta el almacenamiento de datos.
Este Data Engineer, industrializa e implementa soluciones técnicas para el transporte de diferentes tipos de fuentes de datos.
Las principales actividades:

Comprender las fuentes de datos y el formato de suministro, así como la usabilidad;
Comprender el almacenamiento de datos, así como las aplicaciones de dominio y los casos de uso de tendencias;
Integrar soluciones de datos en productos y procesos, desarrollando software para aplicaciones analíticas;
Implementar la ingeniería de la plataforma de datos (diseño e implementación de la arquitectura del sistema para el análisis de datos local o en la nube);
Desarrollar procesos de extracción-transformación-carga (ETL) y facilitar análisis personalizados (estadísticas);
Proporcionar arquitectura de datos para el desarrollo de aplicaciones de TI;
Responsable de la limpieza de datos, gestión de datos maestros;
Gestionar herramientas de gestión y carga de datos;
Garantizar la seguridad de los datos, la protección de los datos, la calidad de los datos y la seguridad de TI dentro de las arquitecturas de software, hardware y bases de datos proporcionadas.

Key Requirements/ Skills

Licenciatura en Ingeniería de Datos, Big Data Analytics, Ingeniería Informática o campo relacionado;
Experiencia probada como ingeniero de datos, desarrollador de software o similar. El desarrollo de aplicaciones de TI;
Experimentado en Python, C++, Java, R, and SQL;
Familiaridad con Sistemas Distribuidos (Hadoop, Spark o sistemas equivalentes);
Experiencia en CI/CD;
Experiencias en Shell en Docker;
Experiencias en Pipeline (Luigi);
Fuertes habilidades para resolver problemas;
Excelentes habilidades de comunicación verbal y escrita para la coordinación entre equipos;
Pasión por descubrir soluciones y trabajar con diferentes Áreas de la compañía;
Nivel de Inglés Avanzado.

About Allianz

Allianz es el hogar para los que se atreven - el lugar donde poder tomar la iniciativa para desarrollarse profesionalmente y colaborar en mantener nuestra posición global de liderazgo.Preocupándose por las personas - tanto por sus 100 millones de clientes, como por sus más de 147.000 empleados/as - Allianz fomenta una cultura en la que se anima a sus empleados/as a compartir, participar, abordar tendencias actuales y desafiar el negocio. Nuestro principal objetivo es ser el referente de nuestros clientes, brindándoles la confianza necesaria para crecer. Si te atreves, únete al grupo Allianz.

En Allianz creemos en un equipo de personas diverso e inclusivo y estamos orgullosos de ser un empleador que ofrece igualdad de oportunidades. Te animamos a dar lo mejor de ti en el trabajo, sin importar quién eres, cómo eres, de dónde vienes, en qué crees o a quién amas.

Allianz Seguros es la principal filial del Grupo Allianz en España y una de las compañías líderes del sector asegurador español. La compañía tiene la vocación de ofrecer las mejores soluciones aseguradoras y financieras. Cuenta con una de las gamas de productos más completa e innovadora del mercado y se basa en el concepto de seguridad integral. Por eso, los productos y servicios que ofrece la compañía van desde el ámbito personal y familiar al empresarial.

Para más información, por favor visita nuestra web:
https://www.allianz.es/descubre-allianz/allianz-seguros/trabaja-con-nosotros/bolsa-empleo.
En Allianz Seguros tenemos el compromiso de mantener y desarrollar un entorno de trabajo en el que se respeten y valoren los principios de Diversidad del Grupo Allianz y se promueva la igualdad de oportunidades entre mujeres y hombres en cada uno de los ámbitos en los que la Compañía desarrolla su actividad, no tolerando discriminación basada en criterios tales como: edad, sexo, estado civil, raza, origen étnico, capacidades diferentes, tendencias políticas o actividades de representantes de los trabajadores/as, religión u orientación sexual.
Sector
Servicios financieros Seguros
Tipo de empleo
Jornada completa
Funciones laborales
Desarrollo empresarial",Data Scientist,41.38792,2.1699189999999997
332,Wind Mobility,Machine Learning Engineer,Barcelona, 3 meses,1355,Sin experiencia,Logística y cadena de suministro Servicios medioambientales Transporte por carretera o ferrocarril,Jornada completa,Ingeniería Tecnología de la información,"We are Wind.

Our mission? To make transport sustainable for everyone across the world. We’re putting the fun back into commuting with our e-scooters, and we want you to join us!

Today we are powering over 20 cities worldwide and growing quickly to become a key player in the field of micro-mobility. With the launch of a new state of the art scooter, we are expanding our talented team to reach new heights.

We are looking for a superhero to be our new Machine Learning Engineer to power and expand our BI team in Barcelona. It’s a hands-on and rewarding role which requires a versatile personality and a strong set of technical and project management skills.

Our team has an obsession with offering a unique customer experience. We do this by using the data we generate across the globe to understand our customers better than any other micro-mobility provider. The objective of this role is to accelerate our time to insight by taking the vast amounts of non-structured and structured data we generate every second and transform them into usable outputs. You would fit best in this role if you are eager and qualified to propose and implement data architecture.

If you’re hungry for a challenge, able to navigate the uncharted waters of a new industry, and extremely result-driven…then what are you waiting for? We wanna hear from you!

Every superhero has super responsibilities

You Will
Collaborate with data scientists and business stakeholders to design, develop, and implement end-to-end scalable machine learning systems in AWS
Develop supervised and unsupervised ML algorithms with high quality, maintainable and scalable code
Lead machine learning model deployment and production execution
Design and analyze metrics to evaluate and monitor the effectiveness of deployed machine learning models.
Integrate new data sources, uncover opportunities for machine learning automation and predictive modeling
Research and implement best practices to help develop and enhance machine learning infrastructure.
Push for adopting the best architectural standards and working ways across the data team

You Have
Experience with deploying machine learning models to production, preferably in AWS environment
Knowledge of supervised and unsupervised Machine Learning algorithms
More than 2 years of experience in Python and SQL programming
Good system analysis, logical thinking, and ability to analyse and solve problems independently
Fluent English

It Would Also Be Great If You Are
Familiar with AWS or other Cloud platforms
Experienced in serverless ML model deployment (AWS SageMaker or similar)
Familiar with Linux, shell scripting and containerization of applications (Docker, K8s, ECS)
Familiar with pySpark
Experienced with Git and JIRA

You Will Receive
Opportunity to learn new technologies and skills with freedom to apply them in practice
The opportunity to be part of a growing, international team
Flexible working hours / home office
Team building events
Learning & Development fund, which you can use for taking courses, buying books etc.
A real challenge! (We’re a startup…no day is ever the same!)
Come as you are! At Wind we celebrate diversity and are committed to creating an inclusive environment for all employees. While for this role we ask that you should be eligible to work in Spain, we remain an open-minded meritocracy. If you are a quick thinker, able to navigate the uncharted waters of a new industry, and extremely results-driven, we want to hear from you!
Nivel de experiencia
Sin experiencia
Sector
Logística y cadena de suministro Servicios medioambientales Transporte por carretera o ferrocarril
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información",Data Scientist,41.38792,2.1699189999999997
333,Barcelona Institute for Global Health (ISGlobal),Post-doctoral researcher --COVAIR-CAT- HEI,Barcelona, 4 días,78,Sin experiencia,Gestión de organizaciones sin ánimo de lucro Investigación Recursos humanos,Jornada completa,Investigación Análisis Tecnología de la información,"Offer Description

ISGlobal is a cutting-edge institution with demonstrated capacity to address global public health challenges through research, translation and education, with 407 members and 42 research groups. ISGlobal is located on two campuses: Campus Clinic, with the University of Barcelona and Hospital Clínic and Campus Mar, with University Pompeu Fabra and Hospital del Mar. ISGlobal has an ambitious vision as a world-class centre in research, translation and education, with a commitment to improve global health and promote health equity.

ISGlobal is a leader in epidemiological research of environmental exposures with particular expertise in research related to the health effects of air, noise, and the built environment. ISGlobal is leading several COVID-19 related research projects exploring the links between the environment and COVID-related outcomes and the health impacts of the pandemic response. These projects leverage ISGlobal’s unique expertise in both environmental and infectious disease epidemiology.

Location

Barcelona - Campus Mar

What We Are Looking For

We are recruiting a post-doctoral researcher to join our dynamic team in the Urban Environment and Air Pollution research programme. The researcher will be based in the research group of Cathryn Tonne, Associate Research Professor and involved in the project Air Pollution in relation to COVID-19 morbidity and mortality: a large population-based cohort study in Catalonia, Spain (COVAIR-CAT) funded by the Health Effects Institute. The position will involve conducting statistical analysis in a large dataset (i.e. over 5 million participants), application of advanced statistical techniques, and drafting publications related to the impact of air pollution on COVID-19 hospital admission and mortality and identification of vulnerable population subgroups.

Specific Duties
Coordinating health and environmental exposure databases
Conduct statistical analyses
Draft original articles for publication in high impact journals
Disseminate findings at conferences, workshops, scientific journals, and other channels
Nivel de experiencia
Sin experiencia
Sector
Gestión de organizaciones sin ánimo de lucro Investigación Recursos humanos
Tipo de empleo
Jornada completa
Funciones laborales
Investigación Análisis Tecnología de la información",Data Scientist,41.38792,2.1699189999999997
334,Universitat Pompeu Fabra - Barcelona,Networking researcher,Barcelona, 1 semana,43,Algo de responsabilidad,Enseñanza superior Software Investigación,Jornada completa,Investigación Análisis Tecnología de la información,"Offer Description

We look for a candidate to do research concerning security and efficiency aspects of blockchain networks. The project will be mainly focused on the Bitcoin network protocol and its implementation. In particular, the candidate will have to investigate issues of the Bitcoin network structure and topology, as well as its data propagation protocol.

Other Requirements Include

The candidate should have a Master's degree in Computer Science or Computer Engineering, and is required to have previous research experience.
knowledge of network systems and protocols, preferably in the peer-to-peer context;
knowledge of network security issues and protocol; - in-depth knowledge of the Bitcoin network protocol;
programming skills in the C/C++ and python languages, preferably with experience in low-level and network-protocol programming;
Programming experience with the Bitcoin reference client implementation is a plus.
Nivel de experiencia
Algo de responsabilidad
Sector
Enseñanza superior Software Investigación
Tipo de empleo
Jornada completa
Funciones laborales
Investigación Análisis Tecnología de la información",Data Scientist,41.38792,2.1699189999999997
335,"CIDOB, Barcelona Centre for International Affairs",Researcher in the NIEM project on migrations,Barcelona, 1 semana,725,Algo de responsabilidad,Gabinetes estratégicos,Jornada completa,Investigación Análisis Tecnología de la información,"CIDOB (Barcelona Centre for International Affairs) opens a call to hire a researcher for its area of Migrations, in particular for the NIEM 1project with the possibility of working on other projects. The candidate will participate in the research related to the integration processes of asylum seekers and refugees, to the impact of COVID-19 in the migrant population, as well as to discourses on immigration.

Responsibilities

Research in the NIEM project on integration processes of asylum seekers and beneficiaries of international protection, the impact of COVID-19 in the migrant population, as well as to discourses on immigration in mass media channels and in the political debate. Preparation of the NIEM project annual report.
Produce academic articles, scientific reports and CIDOB publications for the general audience. Participate in mass media channels to disseminate research results.
Take the lead in planning and organizing activities and conferences.
Participate in the activities and projects of the Migration Area and in the meetings of the research team; collaborate with other research areas at CIDOB.
Participate in communication and dissemination activities of the Migrations area at CIDOB.

1- The National Integration Evaluation Mechanism (NIEM) Project, cofunded by the Asylum, Migration and Integration Fund (AMIF), aims to measure and improve integration of beneficiaries of international protection. The final purpose is to prepare key actors in the integration field in 15 EU Member States to better face the current challenges and improve the integration outcomes of beneficiaries of international protection.

Benefits

Conditions of employment

Contract period: full-time temporary contract ending on the 30 th of April 2022, probationary period of three months.

Remuneration: 28.000-30.000€ annually gross, according to labor category stablished in the Collective Agreement of CIDOB.

Eligibility criteria

Application Procedure

Please send a CV with a cover letter and a recent academic article (as a single author) to click apply indicating “Researcher NIEM project” in the subject of the email.

Deadline for submitting the application: 14 th March 2021

After evaluating the candidates, CIDOB will ask the selected candidate (the candidate with the highest score) to provide a copy of the academic degrees and language certificates indicated in the requirements to verify their authenticity.

People from states other than those that are part of the European Union must provide a residence and work permit, in accordance with current regulations.

Selection process

The selection process follows the spirit of the principles detailed in the European Commission’s General Principles and Requirements of the European Charter for Researchers and Code of Conduct for their Recruitment.

The evaluation of candidates will have two phases: 1) Preselection of candidates based on their CV, cover letter and submitted academic article. The candidates who best fit in the position will be preselected. The selection criteria will value their studies and training, including formal and informal education, proven experience in research and high level of languages, credited internationally; 2) Interview stage. The Evaluation Committee will assess the specific competences and knowledge of candidates and their suitability to the research group and center. A score between 0 and 10 will be given to candidates, including strengths and weaknesses.

The Body Will Be Composed Of

The Evaluation Committee is the body responsible for presenting a proposal of selection and shall be composed of three complementary profiles. The Committee will guarantee gender balance between its members.

A management position
Research Coordinator
Principal Investigator of the NIEM project

The Evaluation Committee will nominate the person with a better score, after concluding a joint deliberation process. Based on the proposal, CIDOB Direction will award the temporal position to the best ranked candidate.

Candidates can use the complaint mechanism or ask for further information regarding the evaluation process during the next 10 days after the announcement of the results. To that end candidates should write an e-mail with their concerns to click apply .

The results of the selection process will be communicated to the applicants from the 6 th April 2021

Additional comments

Protection of personal data : The data of the candidates will be processed to manage the selection process. The entity responsible for processing is the Centre d’Informació i Documentació Internacionals a Barcelona (CIDOB). The legal basis for the processing of your data is your consent, which you grant when submitting your candidacy.

Your data will not be communicated to third parties, except for those arising from legal or contractual obligations of CIDOB. If not selected, your data and CV will be destroyed within a maximum period of 6 months after the completion of the contracting procedure. To obtain more information or to exercise your rights of access, rectification, deletion, opposition, limitation or portability of your personal data, you must send an application to the attention of the Security and Ethics Committee, C/ Elisabets 12, 08001 Barcelona or by email at click apply .

Web site for additional job details

Required Research Experiences
RESEARCH FIELD

Political sciences › Policy studies
YEARS OF RESEARCH EXPERIENCE

4 - 10

Offer Requirements
REQUIRED EDUCATION LEVEL

Political sciences: Master Degree or equivalent
REQUIRED LANGUAGES

ENGLISH: Excellent

SPANISH: Good

Requirements

Skills/Qualifications

Master’s Degree in political and social sciences, particularly on migration policies and/or inclusion of migrants.
Holding a PhD in political and social sciences, particularly on migration policies and/or inclusion of migrants, will be an advantage.
Five years of experience in the field of research in migration and asylum policies.
Track record of publishing research articles in high impact academic journals, think tank papers and other relevant forums.
A high knowledge of English spoken and written. Fluency in Spanish. A good command of other languages would be an advantage.
Ability to solve problems, analytical skills, ability to work both autonomously and with an international team.
Nivel de experiencia
Algo de responsabilidad
Sector
Gabinetes estratégicos
Tipo de empleo
Jornada completa
Funciones laborales
Investigación Análisis Tecnología de la información",Data Scientist,41.38792,2.1699189999999997
336,Montreal Associates,Senior Data Engineer (Spark+Scala+Python) - Mandatory English,Barcelona, 1 mes,856,Intermedio,Entretenimiento,Jornada completa,Tecnología de la información,"Anunciado por
Giovanna Busetto Vicari 2º
IT Recruitment Consultant
Enviar mensaje InMail
Location
Barcelona
One of the most disrupting e-commerce companies in Barcelona is presently welcoming a Senior Data Engineer with at least 4+ years experience.

Responsibilities & Requirements
Design and challenge data pipelines to transform and store data in real-time and batch mode.
Strong experience with programming languages Scala or Python;
Experience building data pipelines with Spark;
Experience integrating data from multiple sources, including DBs, product tracking, and APIs.
Proficient in SQL;
Proficient in english.

Benefits
Budget for external training to build your Career Path and possibilities to grow in the company;
Flexible working
Nivel de experiencia
Intermedio
Sector
Entretenimiento
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Scientist,41.38792,2.1699189999999997
337,Adevinta,Data Engineer - Messaging Team,Barcelona, 4 días,109,Intermedio,Internet,Jornada completa,Ingeniería,"Company Description

We are a world leading online classifieds business that reaches more than 200 million people each month through our household name brands across 12 countries. Our brands include Leboncoin, OLX, fotocasa, Infojobs and Shpock to name a few.

Our brands are supported by global tech hubs in Paris and Barcelona. Their goal is to develop common global product & innovation platforms which all of our brands can use; this means using bleeding edge technology to create highly scalable, highly customisable and secure products and components to free up the development time of our brands and leverage our access to global data.

The Messaging team at Adevinta owns the software and infrastructure that sends over 5 million messages every day and serves millions of customers worldwide. Up to 16 Marketplaces from the Adevinta group all over the world use our infrastructure and integrate their applications using our SDKs to enable chat in their web sites. Our team is formed by a group of 30 multicultural individuals from different areas such as UX, Product, Data and Tech that work together to develop top-of-the-line software products.

Job Description

We are currently looking for a really experienced data engineer to join our team of engineers in Barcelona. As a member of the Messaging team, you will join our journey as we discover how to build state of the art data processing solutions for Adevinta, with emphasis on both volume, velocity and privacy. The event data we collect from all Adevinta sites around the world is essential to our business - including feeding marketplaces with low-latency (“realtime”) updates, visitor insights analysis and targeted advertisement. We are solving exciting problems at scale while keeping users privacy and data security in mind.

As part of the global Adevinta organization, you will also have the opportunity to learn from and share knowledge with data scientists and engineers across Adevinta. We encourage a diverse, collaborative and creative work environment, where you will develop and push for the state-of-the-art in big data processing at the same time as building reliable and highly scalable services.

Responsibilities
Ensure the traceability of the data from the origins to the decisional and analytical data structures
Setup and maintain the data infrastructure
Work with Data Analyst to understand their need and provide solutions to solve them
Develop comprehensive data capture, transformation and visualization solutions
Guarantee data infrastructure in all environments.
Ensure that quality standards and data governance are being achieved
Advocate for data governance strategies
Share knowledge and provide expert advice to Adevinta engineers as to how to best use the data platform tools as well as providing answers to their engineering needs, fostering a mixed development and operations culture

Qualifications

Desired skills & Professional experience:
A BSc degree in Computer Science (or equivalent job experience)
Strong analytical / problem solving skills
Experience with batch and streaming data processing tools (Spark, Kafka, Kafka Streams, Luigi, etc.)
Experience with “big data” NoSQL databases design and optimization (S3, Hive, Redshift, Cassandra, etc)
Experience with AWS or any other cloud platform
Experience with Agile methodologies.
SOLID, TDD
Understanding of Software Development best practices
Proven ability and experience developing highly structured computer programs, and interested in learning more.
Must show initiative, proactively finding, discussing and solving product and software problems
You love developing good quality software
Ownership and result oriented person.
Have a team-player spirit, which benefits the group vs the individual
Good written, spoken and interpersonal communication skills; technical and business level English is a must
Desirable
Docker
Experience with any AMQP technologies
DDD
Linux, shell scripting
K8s experience
Experience in building and maintaining systems at scale: service discovery, load balancing, secret management, dynamic request routing, circuit breakers and deployment schemes (rolling updates, canary, etc.)
Experience with modern development tools like Git, Travis, Terraform or equivalent

Additional Information

Adevinta is an equal opportunity employer and value diversity in our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status or disability status. If any of the above ticks your boxes, then why not Apply Now to find out more
Nivel de experiencia
Intermedio
Sector
Internet
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería",Data Scientist,41.38792,2.1699189999999997
338,Scopely,Data Engineer,Barcelona, 1 semana,474,Algo de responsabilidad,Entretenimiento Videojuegos Servicios y tecnologías de la información,Jornada completa,Ingeniería Tecnología de la información Gestión de proyectos,"Are you BI Engineer searching for the right next challenge? Join our Publishing Platform team! When you join our growing team, you can expect to own your work from ideation and product definition through production deployment and continued feature maturation. We're looking for people who take pride in their work and in seeing it impact real people!
 What you will do:
Build and evolve a data warehouse critical to driving business insights across a growing portfolio of successful mobile games.
Develop architectural components of the data warehouse: modeling strategy, ETL pipeline, aggregation, and BI delivery/visualization.
Work on collaborative design sessions, champion best practices.
Develop scalable ETL and processes to produce a robust and business-ready model for producing high-quality dashboards and insights.
Maintain the integrity of the data warehouse by implementing appropriate controls and procedures.
Collaborate with engineers, product teams, and analysts to produce scalable analytical models from business requirements.
 What you will need to be successful and enjoy this role?
Experience of data warehouse modeling techniques such as Kimball dimensional modeling (star schema)
Proven track record successfully building and evolving robust data warehousing systems
5+ years of experience with ETL and ability to construct, troubleshoot, and profile complex queries (Airflow is a plus)
5+ years of experience with Business Intelligence software (Tableau, Looker are a plus)
Exposure to Hadoop-based ETL and big data technologies: Spark, S3, Hive, Impala, HDFS, etc. is a plus
Competency working in a Linux OS environment and utilizing common command-line tools (github/cvs experience is a plus)
Programming or scripting experience (python is a plus)
Experience with accurate and performant SQL
Will to learn and teamwork
Positive attitude
Table tennis skills (Mario Kart expertise is a plus)
 About us:
Scopely is a leading mobile games company home to many top-grossing, award-winning franchises including Star Trek™ Fleet Command, Looney Tunes™ World of Mayhem, WWE Champions 2019, The Walking Dead: Road To Survival™, YAHTZEE® With Buddies and Wheel of Fortune®: Free Play, among others. Scopely creates rewarding, immersive games that empower a directed-by-consumer experience. Founded in 2011, Scopely is fueled by a world-class team and a proprietary technology platform that personalizes gameplay at scale across one of the most diversified portfolios in the west. Recognized in Fast Company’s ‘World’s Most Innovative Companies’ and #2 on Deloitte’s ‘Technology Fast 500’ as one of the fastest-growing companies in North America, Scopely has achieved more than $1 billion in lifetime revenue by creating game experiences that are an important part of people’s lives. With global operations in Los Angeles, Barcelona and Dublin (DIGIT Games Studios), and additional studios in seven countries across four continents, Scopely has raised more than $250 million in financing from global entertainment and technology investors. 
Scopely is committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, family or parental status, gender identity, veteran, or disability status, or other protected status. 
 Candidate information will be treated in accordance with our candidate privacy notice which can be found here: https://scopely.com/scopely-candidate-privacy-notice/
Nivel de experiencia
Algo de responsabilidad
Sector
Entretenimiento Videojuegos Servicios y tecnologías de la información
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información Gestión de proyectos",Data Scientist,41.38792,2.1699189999999997
339,Lectus Recruitment,Senior Data Scientist - Perfume and Taste Industry,Barcelona, 15 horas,14,Algo de responsabilidad,Ingeniería industrial o mecánica Artículos de consumo Recursos humanos,Jornada completa,Otro,"Publicado

8 febrero, 2021

Lugar

Barcelona, Spain

Categoría

Ingenieros y Técnicos

Tipo de trabajo

Jornada Completa

Descripción

Our client is a multinational company that creates fragrances, flavors and ingredients to delight the senses. They are looking for a Senior Data Scientist for a new division within the company, a digital platform with the same business concept focused on SME's.

It is an innovative and growth project. we are looking for a flexible profile that wants to take on the challenge of developing a new project in start-up environment.

Responsiblities

As a Senior Data Scientist you will be located in their Barcelona offices and you will be responsible for the following functions
Act as a full stack Data Scientist and support the team in shaping a new innovative product.
Demonstrate a strong understanding of the data and build data foundation
Create data segmentation and modelling
Build ML models and implement them into production
Close collaboration with with business, product and engineering stakeholders to fuel them with data-driven insight
Work closely with business, product and engineering stakeholders to fuel them with data-driven insight
We Are Looking For Someone With The Following Requirements
Solid experience in applying a large variety of data science methods in different scenarios.
Solid skills in software engineering best practices
Ownership of delivery mentality for an end to end data science workflow (data acquisition, cleaning, modelling, testing, integration/deploying, monitoring).
Ability to conceptualize, break down and support implementation of highly complex data-driven software systems, second - and third - order implication thinking.
Good communicator and the ability to represent data science for the whole project.
Solid experience in agile development (nice to have)
Ability to make strategic decisions around data topics within the project and to push the data science agenda.
Very deep knowledge of Machine learning or statistical modelling
Experience working for a startup.
Expertise in building Machine Learning models and implementing them into production
Python experience.
Curiosity to dive deep to identifying the root cause and offering relevant solutions
Team thinking
Nivel de experiencia
Algo de responsabilidad
Sector
Ingeniería industrial o mecánica Artículos de consumo Recursos humanos
Tipo de empleo
Jornada completa
Funciones laborales
Otro",Data Scientist,41.38792,2.1699189999999997
340,"IRI - Institut de Robòtica i Informàtica Industrial, CSIC-UPC",Postdoc Researcher - Explainable artificial intelligence in robotic systems,Barcelona, 2 semanas,91,Sin experiencia,Enseñanza superior Investigación Administración gubernamental,Contrato por obra,Investigación Análisis Tecnología de la información,"Offer Description

The ""Institut de Robòtica i Informàtica Industrial (IRI), CSIC-UPC"" is seeking a highly motivated applicant with a keen interest in doing research in Explainable Artificial Intelligence (XAI) applied to manipulation robotic problems in the framework of the COHERENT project. The postdoc will be supervised by Dr. Júlia Borràs and Dr. Guillem Alenyà.

The applicant will work within the European CHIST-ERA project ""COHERENT” offering possibilities of collaboration with our project partners, King’s College London (KCL) in the UK and Università degli Studi di Napoli Federico II (UNINA) in Italy.

About Iri

IRI is a Joint University Research Institute participated by the Spanish National Research Council (CSIC) and the Technical University of Catalonia (UPC) that conducts research in human-centered robotics and automatic control. The institute, is a key player in the Spanish robotics and automatic control scenes, and a valued participant in a large number of international collaborations including more than ten ongoing H2020 projects and an ERC Advanced Grant. It has been recognized as a Maria de Maeztu Excellence Unit, the main accreditation given by the Spanish Government to research units that stand out for the impact and international relevance of their results.

About Coherent Project

The position is linked to ""COHERENT: COllaborative HiErarchical Robotic ExplaNaTions"", a CHIST-ERA European project which seeks to improve trust and

reliability in robots by developing a framework capable of generating explanations during a robot action. The idea of the project is to synthesize an explanation from the different explainable machine learning methods that occur at the different robotic layers: decision making, perception and action execution.

XAI is becoming a trending research topic the more society comes to depend on machine learning-based dynamic systems. In the near future, clearer accountability will be required for decision making processes to ensure trust and transparency.

About The Contract

The postdoc will be incorporated into the Perception and Manipulation Group of IRI. S/he will be hired through a 2-year postdoctoral contract with a salary in the range of 30000 to 40000 € gross per year, depending on experience and skills. The incorporation will be take place as soon as possible.
Nivel de experiencia
Sin experiencia
Sector
Enseñanza superior Investigación Administración gubernamental
Tipo de empleo
Contrato por obra
Funciones laborales
Investigación Análisis Tecnología de la información",Data Scientist,41.38792,2.1699189999999997
341,Accenture España,Data Engineer Barcelona,Barcelona, 2 semanas,733,Sin experiencia,Servicios y tecnologías de la información Software Telecomunicaciones,Jornada completa,Investigación Estrategia/planificación,"About Accenture

Accenture is a leading global professional services company, providing a broad range of services at scale in strategy and consulting, interactive, technology and operations, with digital capabilities across all off these services.

We combine unmatched experience and specialized capabilities across more than 40 industries – powered by the world’s largest network of Advanced Technology and Intelligent Operations centers.

With 513,000 people serving clients in more than 120 countries, Accenture brings continuous innovation to help clients improve their performance and create lasting value across their enterprises.

Working closely with clients our Strategy & Consulting professionals help transform the world’s leading organizations, working across the C-suite to capitalize on disruption, enable competitiveness, and drive growth and profitability via continuous innovation.

About Supply Chain And Operations Applied Intelligence

Part of Accenture Strategy and Consulting, we help our clients grow their business in entirely new ways. Artificial Intelligence and Analytics enable our clients to achieve high performance through insights from data - insights that inform better decisions and strengthen customer relationships.

The Barcelona Innovation Center has been at the forefront in helping clients from around the globe and across industries under the umbrella of intelligent operations for the last 15 years. We develop cutting-edge assets and solutions to reduce costs and improve supply chain processes, such as optimization of stock levels, demand planning and forecasting, automated warranty solutions, and predictive asset maintenance.

Our team is composed of over 90 data scientists and Data Engineers with specialized background in Supply Chain & Operations, 20% of which are PhD’s in the areas of Mathematics, Computer Science, Physics or Statistics. All that knowledge, combined with Accenture’s business experience, fosters an environment that allows us to quickly react to changing business conditions and provide tailored solution for our client’s needs.

Data Engineer role

Introduction

You will have the opportunity of being part of the Data Analyst group, working for our top clients in the evolution of their core systems and the implementation of new digital architectures. As part of the group, you will be trained on new Data architecture, and you can take part of certification processes for those technologies.

Your role

To grow up your skills working on challenging and innovative solutions

Working in new technologies with demanding clients and growing your expertise
Working in highly skilled teams advising and supporting our clients through the data and technology revolution

Working in partnership with global clients and large public/private sector organizations

Work with client teams to design and implement modern, scalable data solutions using a range of new and emerging technologies.

A drive to keep up with new and/or up and coming data technologies, especially open-source frameworks

Key Responsibilities

Design and implement the data architecture for our clients based on new data technologies.

Design the integration with legacy data sources.

Define the standards and best practices to develop applications using new architectures.

Using good communication skills to understand and deliver client requirements.

Bring your experience and ideas to innovative engineering, design and strategy.

Contribute to our internal networks and special interest groups.

Recommend ways to improve data reliability, efficiency and quality

Collaborate with data architects, modelers and IT team members on project goals

Build high-performance algorithms, prototypes, and proof of concepts

Skills You Will Need

Programming in tools like R, PYTHON, C++, JavaScript, C#, Java, PHP.

SQL-based technologies, e.g. PostgreSQL and MySQL

NoSQL technologies, e.g. Cassandra, MongoDB

Other database tools, e.g. SCADA

Knowledge in Bid Data Frameworks, e.g. Hadoop (Especially HBase, Spark, MapReduce, Hive, HDFS

Knowledge of the ELK stack (exposure preferred)

Unix and Unix-like systems

Knowledge of cloud-based solutions, e.g. AWS, Azure, Google Cloud

Data modeling tools, e.g. ERWin, Enterprise Architect, and Visio

Knowledge in Data Base tools like Redshift (AWD), Casandra DB, Mongo DB, SQL Database, Hadoop, SCADA.

Data Ingestion/transformation tools like Alteryx, Talend, SQL, J2EE, Big Query

Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Software Telecomunicaciones
Tipo de empleo
Jornada completa
Funciones laborales
Investigación Estrategia/planificación",Data Scientist,41.38792,2.1699189999999997
